phi	logL
6.86718840025232979407e-01       -3.955679e+03
6.86969621925114015681e-01       -3.955679e+03
6.86967612445157360668e-01       -3.955679e+03
6.86726577188192632839e-01       -3.955679e+03
6.86961039801532558080e-01       -3.955678e+03
6.86735675236218034989e-01       -3.955678e+03
6.86950768932837130265e-01       -3.955678e+03
6.86947705512360062841e-01       -3.955678e+03
6.86940597801174224202e-01       -3.955677e+03
6.86772076278765131185e-01       -3.955676e+03
6.86777462483401435200e-01       -3.955676e+03
6.86794919037975182263e-01       -3.955676e+03
6.86804987227959906626e-01       -3.955675e+03
6.86804988333587052018e-01       -3.955675e+03
6.86885192874535088770e-01       -3.955675e+03
6.86879699243041708101e-01       -3.955675e+03
6.86816974778877376018e-01       -3.955675e+03
6.86866600533128868200e-01       -3.955675e+03
6.86832115855480651589e-01       -3.955675e+03
